"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","X102.092_0.611","X105.07_2.767","X111.044_2.768","X114.092_1.761","X119.049_2.765","X122.082_0.534","X128.018_0.344","X130.087_0.452","X132.102_0.307","X136.062_0.301","X136.097_0.551","X137.046_0.35","X137.046_0.42","X141.091_1.54","X141.959_6.859","X142.027_0.328","X142.035_0.315","X150.059_0.3","X166.053_0.305","X172.134_2.343","X175.148_2.71","X192.125_4.643","X198.15_2.471","X200.165_3.207","X203.007_0.309","X214.181_2.634","X216.16_2.471","X226.181_2.61","X228.196_2.71","X230.176_2.586","X232.191_2.63","X236.163_2.635","X240.116_2.324","X242.212_2.78","X242.586_2.766","X249.112_2.768","X251.037_0.323","X256.227_2.847","X256.227_3.318","X256.264_3.225","X258.111_0.302","X258.207_2.775","X263.091_2.771","X263.2_2.895","X267.123_2.767","X272.222_2.957","X276.02_2.431","X277.216_3.018","X278.186_2.23","X278.248_3.1","X280.189_2.775","X280.263_3.169","X280.264_3.159","X281.102_2.768","X282.28_3.246","X285.133_2.768","X291.146_2.39","X295.227_3.017","X296.258_2.976","X296.259_2.971","X298.2_2.676","X300.199_2.264","X301.115_0.328","X301.115_0.413","X303.305_3.529","X303.648_2.884","X305.248_3.26","X306.279_2.989","X306.279_3.212","X308.295_3.045","X308.295_3.285","X311.221_2.932","X324.29_3.082","X324.327_3.455","X327.232_3.01","X333.063_2.524","X334.311_3.335","X345.243_3.095","X348.288_3.044","X351.217_2.741","X352.306_2.997","X352.321_3.187","X366.373_3.699","X368.316_2.962","X368.317_3.315","X369.17_2.767","X377.146_2.225","X380.993_2.164","X385.165_2.771","X386.717_2.856","X387.181_2.767","X387.192_2.843","X387.193_2.842","X396.332_2.991","X397.22_2.071","X399.394_3.159","X399.395_3.152","X400.342_2.89","X400.97_2.127","X404.207_2.768","X406.154_2.765","X409.162_2.768","X415.14_2.768","X416.337_2.79","X420.899_2.103","X425.136_2.773","X426.484_2.164","X428.205_2.248","X430.223_2.768","X430.223_2.769","X440.359_2.985","X444.332_3.016","X446.218_2.884","X448.342_2.867","X458.23_2.165","X466.25_2.226","X472.363_3.023","X475.989_2.164","X476.24_2.164","X484.385_2.982","X486.098_2.765","X488.359_3.01","X489.228_2.768","X494.325_2.865","X502.294_2.879","X506.255_3.172","X511.21_3.171","X516.39_3.018","X522.357_2.957","X528.311_2.928","X530.289_2.929","X532.385_3.004","X538.315_2.977","X544.34_2.89","X546.029_2.319","X560.416_3.006","X568.341_2.887","X570.357_2.934","X576.411_2.999","X580.362_2.984","X590.322_2.887","X596.357_2.948","X599.241_2.765","X602.344_2.984","X604.362_2.948","X604.442_3.001","X607.227_2.771","X608.227_2.768","X608.393_3.098","X616.308_2.766","X620.356_2.913","X620.437_2.993","X637.306_3.32","X648.468_2.995","X650.403_3.014","X650.978_2.339","X654.332_3.32","X664.419_3.086","X664.463_2.992","X666.433_3.092","X666.434_3.024","X668.414_2.975","X679.068_2.179","X682.363_3.329","X682.364_3.313","X690.434_3.14","X692.414_2.985","X696.443_3.1","X696.445_3.083","X705.141_2.339","X708.445_3.006","X708.489_2.982","X709.936_2.18","X720.445_3.09","X737.391_2.399","X748.439_2.944","X752.515_2.977","X764.524_3.729","X776.042_2.398","X776.095_2.398","X776.148_2.398","X776.253_2.398","X776.359_2.398","X776.411_2.398","X790.38_2.768","X792.329_2.764","X795.335_2.768","X801.313_2.768","X801.815_2.767","X811.309_2.773","X811.31_2.767","X819.211_2.398","X819.322_2.398","X819.378_2.399","X819.433_2.399","X867.281_2.399","X898.581_3.224","X268.105_0.35","X269.088_0.35","X293.211_2.933","X368.389_3.90","X440.337_2.765","X442.353_2.823"
"X631_Group15_142dpi_RV_bottom_191_G_C7_P140.mzXML",631,"Group15","142dpi","RV_bottom","C7","P140",0.002841044,0.007910897,0.000134717,0.000335898,0.000215306,5.28e-05,0,0.001891736,0.00121759,0,0.000398256,0.003831626,0.001692244,0,0,0,0.000866759,0,0,0.000108858,0.000676416,0,8.18e-05,0.003955448,0,0.001307018,0,0,0.037559562,0,6.8e-05,0.000154279,0,0.000165886,0.000472336,0.000232359,6.22e-05,0.001203832,0.000212455,0,0,0.002125624,0,0,0.006947831,0.001492752,0.000446195,0,0,0.002675947,0,0,0.00337073,0.001251985,0.004698385,0.004216852,0,0.000156056,0,0.000274186,0.000233975,0,0,0,0,0,0,6.28e-05,0.000295493,0.003102447,0.002160019,0,0.000143274,0.000275233,0,0.007842106,0.000618629,0,6.4e-05,0,0,0.001802309,0,0,0.00014575,0.002311358,0,0,0,0,0.145835661,0,0,0,0,0,0.00033814,0,0,0.054894744,0.001492752,0.044851345,0.001100646,0,0,0,0,0,6.92e-05,0,0,0,0.00023002,0,0,0,0,0,0,0,0.000412669,0,0.008323639,0,0.00025715,8.28e-05,0.000100067,0,0.000500642,0,8.39e-05,0,0.00023852,0.000429615,0,0,0.003350093,6.3e-05,0,0.005489474,0,0.001355171,0.000942429,6.65e-05,6.75e-05,0,0,0.000470445,0.001816067,0,0,0,0.00351519,0,0,0,0.000445288,0,0,0,0,5.65e-05,0,0,0.000180883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004636473,0.000329615,0.003914174,0.000280657,0.000277322,0,7.59e-05,0,0,0,0,0,0,4.89e-05,0.00038451,0,0,0,0
"X632_Group15_142dpi_RV_bottom_192_G_C8_P140.mzXML",632,"Group15","142dpi","RV_bottom","C8","P140",0.001731026,0.008199595,6.83e-05,0.000826467,0,0,0,0.001880701,0.002134498,0,0.000121692,0.005739716,0,0,0,0,0.000748376,5.15e-05,0,0.000124539,0.000754883,0,0.000167007,0.003976153,0,0.001503259,7.31e-05,0.002694153,0.040932898,0,9.11e-05,0.000182339,0,0.00043139,0.000342332,0.000203288,0.000230768,0.001412152,0.000245395,0,0,0.002772244,4.49e-05,0,0.007288529,0.000212668,0.000663777,0,0,0.002550985,5.07e-05,0,0.003390467,0.001080264,0.004744051,0.004041229,0,0.000255086,0,0.00049791,0.000426475,0,0,0,0,7.72e-05,0,7.64e-05,0.000345755,0.003553158,0.002297188,0,0.000229656,0.000301742,0.000256016,0.007158376,0.000696315,0,7.43e-05,0,0,0.001945777,0,0,0.000141216,0.001997838,0,0,0,0,0.138612198,0,0,0,0,0,0.000213961,0,0,0.05492427,0.001288508,0.039696451,0.000859005,0,0,0,0,0,9.23e-05,0,0,0,0.000219896,0,0,0,0,0,0,0,0.000461652,0.000195722,0.006104143,0,0.00070933,0.000174551,9.25e-05,0,0.000891543,0,0.000252311,0.000264662,0.00042354,0.001242954,0,0,0.006898072,0.000382754,0.000107578,0.008199595,7.91e-05,0.001731026,0.000728853,0.000313743,0.000155191,0,0,0.000310632,0.003221269,0,0,0.000182886,0.003937107,0,0,0,0.000420037,0.000162232,0,0,0,0.000149966,0,0,0.000306843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004125828,0.000231373,0.003624742,0.000177929,0.000213618,0,6.67e-05,0,6.58e-05,0,0,0,0,5.4e-05,0.000400671,0,0,0,0
"X633_Group15_142dpi_RV_bottom_193_G_C9_P140.mzXML",633,"Group15","142dpi","RV_bottom","C9","P140",0.001068924,0.006780031,6.25e-05,0.000333963,0,4.54e-05,4.35e-05,0.00186909,0.003365583,0,0,0.012277353,0,0,0,0,0.001154438,0.000185824,0,9.32e-05,0.000678003,0,7.88e-05,0.004025261,0,0.001392655,0,0.002657039,0.03780936,0,8.31e-05,0.000181816,0,0.000244879,0.000370385,8.98e-05,0.000264723,0.001294925,0.000266291,0,0,0.001624764,0,0,0.005845486,9.14e-05,0.000254395,0,0,0.002724229,0,0,0.003719855,0.001020059,0.004648291,0.0036038,0,0.00047823,0,0.000447399,0.000460903,0,0,0,0,0.000113679,0,6.68e-05,0.000296343,0.00340834,0.002150064,0,0.000213395,0.000263378,0.00025237,0.007757332,0.000757409,0,5.83e-05,0,0,0.00170417,0,0,0.000197814,0.001930171,0,0,0,0,0.120941088,0,0,0,0,0,0.000161533,0,0,0.041535323,0.001368222,0.038969906,0.000879572,0,0,0,0,0,0.000119974,0,5.14e-05,0,0.000116525,0,0,0,0,0,0,0,0,0,0.006535705,0,0.000641354,9.03e-05,8.96e-05,0,0.001130005,6.89e-05,0.000267776,0,0.00032493,0.001356006,0,0,0.006352461,0.000405385,0,0.007513007,0.000152449,0.001759143,0.000861247,0.000281537,0.000255645,0,0,0.000368933,0.00268758,0,0,0,0.003194555,0,0,0,0.000527988,5.63e-05,0,0,0,9.22e-05,0,0,0.00023496,0,0.000116654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2e-05,5.69e-05,0,0.003958072,0.000144986,0.003487746,9.46e-05,0.000123543,0,0.000108608,0,7.39e-05,9.52e-05,0,0,0,0.000116073,0.00144152,0,0,0.000390135,9.36e-05
"X634_Group15_142dpi_RV_bottom_194_G_C10_P140.mzXML",634,"Group15","142dpi","RV_bottom","C10","P140",0.001687736,0.005599447,5.01e-05,0.000299178,0,0,0.000302968,0.000688642,0.002805368,0,0,0.008692689,0,4.1e-05,0,0,0.000914426,0.000186772,0,5.13e-05,0.00051379,0,6.85e-05,0.003516588,4.97e-05,0.001162788,6.11e-05,0,0.031666226,0,7.8e-05,8.09e-05,0,0.000230156,0.000278857,8.91e-05,0.000609617,0.001106342,0.00029648,0,0,0.001755472,0,0,0.004803558,0.000154476,0.001027318,0,0,0.002455403,0,0,0.003189201,0.000801534,0.004605997,0.002929549,0,0.00026303,0,0.000455902,0.000299095,0,0,0,4.82e-05,0,0,6.8e-05,0.000286274,0.003177912,0.002432824,0,0.000211981,0.00039869,0,0.00654774,0.000914426,0,6.37e-05,0,0,0.00185143,0,0,0.000234185,0.001586134,0,0,0,0,0.093135959,0,0,4.84e-05,0,0,7.04e-05,0,0,0.035843233,0.001089408,0.026981205,0.000671708,0,0,0,0,0,6.33e-05,0,0,0,0.000175103,0,0,0,0,4.59e-05,0,0,0.000473557,0,0.005018053,0,0.000468728,0.000213586,0.000187319,0,0.00085798,0,0.000279581,0,0.000251598,0.000908781,0,0,0.004363279,0.000267021,0,0.005813942,0,0.001111987,0.000421786,0.00014133,0.000147286,0,0,0.000205435,0.002077214,0,0,0,0.003477076,0,0,0,0.000468311,4.83e-05,0,0,0,0,0,0,0.00012944,0,4.44e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23e-05,8.03e-05,0,4.15e-05,0.003160978,0.000120316,0.002444113,7.69e-05,7.88e-05,0,5.14e-05,0,7.01e-05,6.94e-05,0,0,0,0.000108621,0.00127568,0,0,0,0
"X635_Group15_142dpi_RV_bottom_195_G_C11_P140.mzXML",635,"Group15","142dpi","RV_bottom","C11","P140",0.000707284,0.00699964,0,0,0,0,0,0.00156605,0.001687181,0,0.000265908,0.004525107,0.001938096,0,0,0,0.000757595,0,0,8.24e-05,0.000817858,0,0.00016087,0.004334758,0,0.002206314,0.000130779,0.003919452,0.049144566,0,0.000107553,0.000407922,0,0.000369712,0.000344784,8.1e-05,0.000153616,0.00164392,0,0,0,0.003426276,0,0,0.006047896,0.000236331,0.001124788,0,0.000182323,0.002967709,0,0,0.004282845,0.000776995,0.005000979,0.003036927,0,7.19e-05,0,0.000742598,0.000361077,0.00060986,0,0,0,0,0,0.000102733,0.000270357,0.004031931,0.002007313,0,0.000201104,0,0,0.009430911,0.000176696,0,0.000126895,0,0,0.001868878,0,0,0,0.001254571,0,0,0,0,0.115074424,0.000161056,0,0,0,0,0.00044337,0,0,0.050269354,0.000934439,0.037637124,0.000613257,0,0,0,0,0,0,7.44e-05,0,0,0.000115316,0,0,0,0,0,0,0,6.59e-05,0,0.002578359,0,0.000306939,0.000159817,0.000283746,0,0.000696128,0,0.000246845,0,8.91e-05,0.000794723,0,0,0.004836587,9.04e-05,0,0.005208632,0,0.001695834,0.0004415,7.64e-05,0,0,0,0.000168502,0.001514137,0,0,0,0.003452233,0,0,0,0.000456814,0,0,0,0,0,0,0,0.000344646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002950404,0.000103941,0.003123449,0,0,0,6.91e-05,0,0,0,0,0,0,0,0.000589,0,0,0.000324326,0.000242143
"X716_Group15_142dpi_RV_bottom_216_G_E8_P140.mzXML",716,"Group15","142dpi","RV_bottom","E8","P140",0,0.009247763,0.000162312,0.000274768,0.000289342,0,0,0.001265483,0.003226287,0,0.000211941,0.009595423,0.005103653,0,0,0,0.001182045,0.000279075,0,0.00012933,0.000663181,0,8.34e-05,0.003031597,6.1e-05,0.001223764,7.09e-05,0.002468388,0.037755905,0,0,0.000186926,0,0.000171305,0.0004622,0.000389605,0,0.001286343,0,0,0,0.001265483,0,0,0.008204782,0.001049934,0,0.000176211,0,0.002058149,0,0,0.003003785,0.001425407,0.003865982,0.005277483,0,0.00110556,0,0.000245251,0.000521458,7.44e-05,0,0,0,0.000157078,0,0,0.000158295,0.002579639,0.001731348,0,0.000123401,0,0.000624665,0.008830571,0.000269955,0,0,0,0,0.001209858,0,0,0,0.002760422,0,0,0,0,0.17174417,0,0,0,0,0,0.000169946,0,0,0.062648379,0.001731348,0.054999854,0.000668822,0,0,0,0,0,8.72e-05,0,0,0,0.00025127,0,0,0,0,0,7.87e-05,0,0,0,0.011820449,0,0.001154232,0,0,0,0.00199557,0.000222778,0.000101337,0,0.000347099,0.002593546,0,0,0.010777468,0.000883057,0,0.008691507,0.000479592,0.002405809,0.001182045,0.000466922,0.000295126,0,0,0.000320355,0.003761684,0,5.69e-05,0,0.004269268,0,0,0,0.000597538,0.000218883,0,0,0,6.43e-05,0,0,0.000371916,0,6.57e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93e-05,6.76e-05,0,0,0.005722488,0.000485048,0.00522881,0.000136314,0.000212137,0,0.000232091,0,0,7.33e-05,6.51e-05,0,0,5.6e-05,0.002162447,0,0,0,0
"X717_Group15_142dpi_RV_bottom_217_G_E9_P140.mzXML",717,"Group15","142dpi","RV_bottom","E9","P140",0,0.00954826,0.000153404,0.000829374,0,0,0,0.002007225,0.003394162,0,0,0.0149148,0,0,0,0,0.001177851,0.0003079,0,6.23e-05,0.000666604,0,8.15e-05,0.002411458,0.000114238,0.001407846,0,0.002739026,0.040144508,0,8.18e-05,0.000184296,0,0.000220396,0.000531069,0.000234814,0.000449407,0.001366028,0,0,0,0.0019445,0,0,0.008154353,0.000305335,0.000321632,5.92e-05,0,0.002641453,0,0,0.00328265,0.001428754,0.003868091,0.005038972,0,0.000625386,0,0.000428714,0.000658581,0,0,0,0,6.41e-05,0,8.38e-05,0.000183339,0.003303558,0.001909652,0,0.00014483,0,0.000184549,0.008921002,0.000159782,0,6.68e-05,0,0,0.001428754,0,0,0,0.00282963,0,0,0,0,0.158905343,0,0,0,0,0,0.000209059,0,0,0.058334988,0.0017842,0.050389721,0.001268455,0,0,0,0,0,0.000132819,0,0,0,0.000238593,0,0,0,0,0.000233121,0.000243673,0,0,0,0.009896736,0,0.001031491,9.11e-05,9.61e-05,0,0.001386937,6.34e-05,0.000279219,0,0.00030356,0.001435724,0,0,0.006188945,0.000369446,0,0.005770773,6.96e-05,0.001658749,0.000815435,0.000185251,0.000164521,0,0,0.000469426,0.001951469,0,0,0,0.003686883,0,0,0,0.000503808,0,0,0,0,7.26e-05,0,0,0.000426603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53e-05,0,0,0.005910164,0.000347986,0.004899581,0.000140501,0.000280689,0,0.000135621,0,0.000140479,7.17e-05,0,0,0,0,0.001973849,0,0,0,0
"X718_Group15_142dpi_RV_bottom_218_G_E10_P140.mzXML",718,"Group15","142dpi","RV_bottom","E10","P140",0,0.007258237,6.5e-05,0.000439343,0.000261089,0,0.000121806,0.00079975,0.003884501,0,0.000231271,0.010215297,0.006599619,0,0,0,0.000961044,0.000545434,0,0,0.000692221,0,8e-05,0.002567265,0.000106824,0.001357559,0,0.003918104,0.038441775,0,9.06e-05,0.000190118,0,0.000167906,0.000371663,0.000218185,0.00045965,0.001317236,0,0,0,0.001115618,0,0,0.00626359,0.000819912,0.000543299,6.38e-05,8.08e-05,0.002526942,0,0,0.003608957,0.001082015,0.004092839,0.003830736,0,0.00079975,0,0.000362895,0.00045782,0.000270245,0,0,0,0.000121783,0,0,0.00018466,0.003158677,0.001767515,0,0.000153537,0,0.000144647,0.008871179,0.000196678,0,0,0,0,0.001438206,0,0,0,0.00204978,0,6.81e-05,0,0,0.131051505,0,0,0,0,0,8.24e-05,0,0,0.052353396,0.001303794,0.043347805,0.000920721,5.31e-05,0,0,0,0,0.000125409,0,0,0,0.000109953,0,0,6.55e-05,0,0.000618754,0.000752706,0,0,0,0.007191031,0,0.001922089,7.98e-05,7.64e-05,0,0.002258118,0.000321963,0.000434596,0,0.000354581,0.002459736,0,0,0.009610444,0.00060286,0,0.006250149,0.000165657,0.001747353,0.000974486,0.000186436,0.000198675,0,0,0.000344369,0.002513501,0,0,0,0.004039075,0,0,8.65e-05,0.000469895,5.39e-05,0,0,0,8.09e-05,0,0,0.00018327,0,6.12e-05,0,0,7.78e-05,0,0,0,0,0,0,0,0,0,5.25e-05,0.000184502,0.000167532,0,5.24e-05,0.004617045,0.000376,0.003958428,0.000114168,0.000279998,0.000234314,0,0.000111929,0.000167923,0.000175213,7.81e-05,0,0,0,0.00216403,0,0,0,0
"X719_Group15_142dpi_RV_bottom_219_G_E11_P140.mzXML",719,"Group15","142dpi","RV_bottom","E11","P140",0,0.007019273,7.99e-05,0,0.000187854,0,0,0,0.0026278,0,0.000212931,0.007366341,0,0,0,0,0.001019955,0.000112608,0,0,0.000764966,0,8.27e-05,0.002776544,0,0.001848668,0,0.002981951,0.04263978,0,0.000113123,0.000220489,0,0.000273468,0.00033411,9.36e-05,0.000321973,0.001352857,0,0,0,0.002351563,0,0,0.006197642,0.000344599,0.000864128,6.44e-05,0.000113522,0.002585302,0,0,0.003527344,0,0.004115235,0.003754001,0,0.000715385,0,0.000563707,0.000569225,0.000375469,0,0,0,0,0,8.06e-05,0.000206136,0.003569842,0.002089491,0,0.000167856,0,0.000378898,0.008712114,7.38e-05,0,6.77e-05,0,0,0.001763672,0,0,0,0.001629095,0,0,0,0,0.118994735,0,0,0,0,0,0.000291398,0,0,0.04625212,0.0011262,0.03909827,0.000764966,0,0,0,0,0,0.000151563,0,0,0,0.000237935,0,0,0,0,0,0,0,0,0,0.004441053,0,0.000814547,0.000111711,0,0,0.000942042,0,0.000211802,0,0.00021713,0.001331608,0,0,0.006672205,0.000365752,0,0.006091397,6.34e-05,0.001586596,0.00055852,0.000181352,6.99e-05,0,0,0.000259335,0.002195736,0,0,0,0.002925287,0,0,0,0.00048117,0,0,0,0,0,0,0,0.000279299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003081114,0.000119585,0.003626506,8.67e-05,9.03e-05,0,0.000192224,0,6.12e-05,6.57e-05,0,0,0,6.68e-05,0.000927876,0,0,5.55e-05,0
"X720_Group15_142dpi_RV_bottom_220_G_E12_P140.mzXML",720,"Group15","142dpi","RV_bottom","E12","P140",0,0.005249844,0,0.000538668,8.23e-05,0,0,0.001092408,0.003072888,0,0.000183996,0.00982381,0.00487261,0,0,0,0.001139562,0.000237247,0,6.85e-05,0.000848777,0,0,0.003292941,7e-05,0.002011916,0,0.002829257,0.047311471,0,0.000106753,0.000226958,0,0.000513936,0.000181185,5.38e-05,0.000419457,0.001611105,0,0,0,0.001218152,0,0,0.004676134,0.000342622,0.00115528,0.000167253,0.000104459,0.002711372,0,0,0.003953101,0.000538251,0.00511624,0.002499177,0,0.001131703,0,0.000631787,0.000526941,0.000576854,0,0,0,7.72e-05,0,9.12e-05,0.000296015,0.003929524,0.002279124,0,9.17e-05,0,0.000477653,0.009666629,0.000207281,0,7.78e-05,0,0,0.001634682,0,0,0,0.000974522,0,0,0,0,0.088807245,0.000111139,0,0,0,0,0.000229663,0,0,0.038666517,0.000737417,0.028528345,0.000550598,0,0,0,0,0,0,0,0,0,0.000211866,0,0,0,0,0,6.92e-05,0,7.22e-05,0,0.001964762,0,0.000848777,0.000201682,0.000115732,0,0.001477501,8.35e-05,0.000126652,0,0.000395308,0.001776145,0,0,0.009902401,0.000519052,0,0.008487772,0.000177598,0.002098366,0.000236489,0.000347924,0.000208345,0,0,0.00010226,0.003049311,0,0,0,0.004393208,0,0,0,0.000691729,0,0,0,0,6.61e-05,0,0,0.000458177,0,7.48e-05,0,0,6.04e-05,0,0,0,0,0,0,0,0,0,0,0,9.9e-05,0,0,0.002114084,6.91e-05,0.002294842,5.87e-05,6.64e-05,0,7.28e-05,6.77e-05,7.51e-05,9.77e-05,0.000179633,0,0,0.000229727,0.002068914,0,0,6.02e-05,0
