filename,cluster_index,classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,restored
X105.07_2.767,39,No matches,0,2.485342055,NA,NA,105.07,2.767,NA,NA,NA,No,Self-Loop,group9
X119.049_2.765,543,No matches,0,3.417680137,NA,NA,119.049,2.765,NA,NA,NA,Yes,Massbank:LU028501 2-Hydroxybenzonitrile,group15
X128.018_0.344,1157,No matches,0,4.816453135,NA,NA,128.018,0.344,NA,NA,NA,No,NA,not_restored
X136.062_0.301,4002,Organoheterocyclic compounds,0.048780488,3.474205756,NA,NA,136.062,0.301,NA,NA,NA,Yes,Spectral Match to 1-Amino-2-ethoxybenzene from NIST14,not_restored
X136.097_0.551,9339,No matches,0,2.757577095,NA,NA,136.097,0.551,NA,NA,NA,No,Massbank:LU088301 4-(4-Hydroxyphenyl)butan-2-one|4-(4-Hydroxyphenyl)-2-butanone,not_restored
X137.046_0.35,58,Organoheterocyclic compounds,0.325,3.510208317,Hypoxanthine_C5H4N4O,2.189041,137.046,0.35,0.8225,5,9.16E-05,No,Spectral Match to Allopurinol from NIST14,not_restored
X137.046_0.42,132,Organoheterocyclic compounds,0.325,2.135906169,NA,NA,137.046,0.42,NA,NA,NA,No,Spectral Match to Allopurinol from NIST14,not_restored
X203.007_0.309,8965,Organic acids and derivatives,0.216216216,2.389987495,NA,NA,203.007,0.309,NA,NA,NA,No,Massbank:PR311068 Alanylleucine (isomer of 674),not_restored
X249.112_2.768,2081,No matches,0,3.450851284,NA,NA,249.112,2.768,NA,NA,NA,No,Self-Loop,group9
X251.037_0.323,2266,No matches,0,2.373100982,NA,NA,251.037,0.323,NA,NA,NA,No,"Massbank:AU208003 Thiacloprid-amide|SCHEMBL2190770|[3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene]urea",group15
X256.264_3.225,140,No matches,0,2.383558577,Palmitamide_C16H33NO,0,256.264,3.225,0.734233,5,0.00161743,No,Self-Loop,not_restored
X258.207_2.775,69,No matches,0,2.80407796,NA,NA,258.207,2.775,NA,NA,NA,No,NA,group9
X267.123_2.767,53,No matches,0,2.251528282,NA,NA,267.123,2.767,NA,NA,NA,Yes,D-Mannitol,group9
X285.133_2.768,75,No matches,0,2.142684124,NA,NA,285.133,2.768,NA,NA,NA,Yes,rhodioloside,not_restored
X291.146_2.39,4480,"Nucleosides, nucleotides, and analogues",0.245901639,2.208750557,Didanosine_C10H12N4O3_(M+H+C4H6),1.030412,291.146,2.39,0.939559,4,54.0482,Yes,INOSINE - 50.0 eV,group15
X296.258_2.976,7935,No matches,0,3.295381487,NA,NA,296.258,2.976,NA,NA,NA,Yes,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],not_restored
X301.115_0.328,9404,"Nucleosides, nucleotides, and analogues",0.245901639,2.404327632,NA,NA,301.115,0.328,NA,NA,NA,Yes,Spectral Match to Guanosine from NIST14,not_restored
X301.115_0.413,6349,"Nucleosides, nucleotides, and analogues",0.245901639,2.669186547,NA,NA,301.115,0.413,NA,NA,NA,Yes,Spectral Match to Guanosine from NIST14,not_restored
X324.327_3.455,5570,Phenylpropanoids and polyketides,0.090909091,3.377209779,,1.233325,324.327,3.455,0.844567,8,14.0143,Yes,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",not_restored
X351.217_2.741,1107,No matches,0,2.507236613,NA,NA,351.217,2.741,NA,NA,NA,No,NA,not_restored
X352.306_2.997,6456,Organic nitrogen compounds,0.010526316,2.619138637,NA,NA,352.306,2.997,NA,NA,NA,Yes,"Massbank:AU406506 3,6,9,12-Tetraoxatetracosan-1-ol|Tetraethylene glycol monododecyl ether|2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethanol",group9
X369.17_2.767,8306,No matches,0,2.591194963,NA,NA,369.17,2.767,NA,NA,NA,Yes,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",group9
X380.993_2.164,3068,No matches,0,4.24769513,NA,NA,380.993,2.164,NA,NA,NA,No,NA,not_restored
X386.717_2.856,3214,No matches,0,2.639696544,NA,NA,386.717,2.856,NA,NA,NA,Yes,Self-Loop,group15
X387.193_2.842,8040,No matches,0,2.357363257,NA,NA,387.193,2.842,NA,NA,NA,Yes,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",group9_group15
X396.332_2.991,632,Organic nitrogen compounds,0.010526316,2.971050971,NA,NA,396.332,2.991,NA,NA,NA,Yes,Spectral Match to Nonaethylene glycol from NIST14,group9
X397.22_2.071,7218,No matches,0,2.753837695,NA,NA,397.22,2.071,NA,NA,NA,No,NA,not_restored
X400.97_2.127,3110,No matches,0,2.338212482,NA,NA,400.97,2.127,NA,NA,NA,No,Self-Loop,not_restored
X416.337_2.79,338,Lipids and lipid-like molecules,0.196969697,4.129847834,CAR 16:0;O_C23H45NO5,0,416.337,2.79,0.943095,6,10.0209,Yes,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,not_restored
X420.899_2.103,3096,No matches,0,3.205619776,NA,NA,420.899,2.103,NA,NA,NA,No,NA,not_restored
X426.484_2.164,3085,No matches,0,2.280077154,NA,NA,426.484,2.164,NA,NA,NA,No,NA,not_restored
X430.223_2.769,8304,No matches,0,2.66405999,NA,NA,430.223,2.769,NA,NA,NA,Yes,"ReSpect:PT101903 Cytidine-5'-diphosphate sodium salt hydrate,from yeast|CDP Sodium Salt|Cytidine 5'-Diphosphoric Acid|[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen p",group9
X440.337_2.765,5113,Lipids and lipid-like molecules,0.196969697,2.618080359,CAR 18:2;O_C25H45NO5,2.270987902,440.338,2.765,0.935914,6,13.9796,Yes,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,not_restored
X440.359_2.985,519,Organic nitrogen compounds,0.010526316,2.931926149,NA,NA,440.359,2.985,NA,NA,NA,Yes,Spectral Match to Nonaethylene glycol from NIST14,group9
X442.353_2.823,3191,Lipids and lipid-like molecules,0.196969697,3.197434916,CAR 18:1;O_C25H47NO5,0.678191859,442.353,2.823,0.952474,7,15.9945,Yes,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,not_restored
X458.23_2.165,3072,No matches,0,3.790784222,NA,NA,458.23,2.165,NA,NA,NA,No,Self-Loop,not_restored
X466.25_2.226,3064,No matches,0,2.611077528,NA,NA,466.25,2.226,NA,NA,NA,No,NA,not_restored
X475.989_2.164,495,No matches,0,3.845577647,NA,NA,475.989,2.164,NA,NA,NA,No,NA,not_restored
X476.24_2.164,436,No matches,0,3.275006761,NA,NA,476.24,2.164,NA,NA,NA,No,NA,not_restored
X484.385_2.982,708,Organic nitrogen compounds,0.010526316,3.425332858,NA,NA,484.385,2.982,NA,NA,NA,Yes,"Massbank:AU406506 3,6,9,12-Tetraoxatetracosan-1-ol|Tetraethylene glycol monododecyl ether|2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethanol",group9
X489.228_2.768,25,No matches,0,3.296983931,NA,NA,489.228,2.768,NA,NA,NA,No,"[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",group9
X494.325_2.865,4655,Lipids and lipid-like molecules,0.115789474,2.183423099,LPC 16:1_C24H48NO7P or LPC O-16:2;O_C24H48NO7P,1.820667857,494.325,2.865,0.958488,12,2.00381,Yes,Massbank:PR310841 LPC 18:3,group15
X570.357_2.934,6965,No matches,0,2.412077716,LPC 22:5_C30H52NO7P or  LPC 22:5_C30H52NO7P or  LPC O-22:6;O_C30H52NO7P or  PC O-22:5_C30H52NO7P,2.805268434,570.357,2.934,0.917107,8,45.9854,Yes,Self-Loop,not_restored
X580.362_2.984,7668,No matches,0,2.664197732,PC 20:1;O_C28H54NO9P,1.895372345,580.362,2.984,0.854432,5,98.1456,Yes,Self-Loop,not_restored
X599.241_2.765,5678,No matches,0,2.338281826,NA,NA,599.241,2.765,NA,NA,NA,No,"ReSpect:PT112290 E-3,4,5'-trihydroxy-3'-glucopyranosylstilbene|E-Astringin|(2S,3R,4S,5S,6R)-2-[3-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",group9
X604.362_2.948,958,No matches,0,3.369601136,PC 22:3;O_C30H54NO9P,1.82010451,604.362,2.948,0.936386,5,74.1463,Yes,"Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14",group9
X620.356_2.913,754,No matches,0,2.218896272,NA,NA,620.356,2.913,NA,NA,NA,Yes,"Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14",group15
X682.363_3.329,472,No matches,0,3.527379097,NA,NA,682.363,3.329,NA,NA,NA,No,NA,not_restored
X682.364_3.313,9324,No matches,0,3.855905261,NA,NA,682.364,3.313,NA,NA,NA,No,NA,not_restored
X764.524_3.729,9312,No matches,0,2.240713746,PE 38:6_C43H74NO8P or  PE O-38:7;O_C43H74NO8P,1.962008966,764.524,3.729,0.71911,13,1.00916,Yes,PE(16:0/22:6); [M+H]+ C43H75N1O8P1,group9_group15
X790.38_2.768,76,No matches,0,3.1121869,NA,NA,790.38,2.768,NA,NA,NA,No,Massbank:PR101056 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside,group9
X792.329_2.764,7927,No matches,0,3.355576477,NA,NA,792.329,2.764,NA,NA,NA,No,Self-Loop,group9_group15
X795.335_2.768,137,Organic acids and derivatives,0.058823529,2.107933668,NA,NA,795.335,2.768,NA,NA,NA,No,NA,group9
X811.309_2.773,1080,No matches,0,2.656889021,NA,NA,811.309,2.773,NA,NA,NA,Yes,Self-Loop,group9_group15
