filename,AUC
X100.063_0.208_7204,0.6294
X1013.655_2.216_2485,0.5398
X1014.502_4.725_7669,0.511
X104.13_8.901_7261,0.5286
X105.113_8.817_8938,0.4929
X106.111_8.836_8179,0.4714
X1063.671_2.091_2310,0.4764
X108.056_1.526_844,0.6077
X108.056_2.047_9512,0.5192
X108.056_2.725_4730,0.6146
X108.056_3.67_2029,0.4522
X108.056_3.755_9075,0.5835
X108.056_6.944_9310,0.5192
X108.056_6.969_2190,0.4434
X1091.884_5.378_7681,0.4843
X113.035_5.908_3965,0.4541
X113.986_4.624_9280,0.5
X114.039_4.598_5466,0.5676
X114.041_4.57_2300,0.4396
X114.099_4.543_9458,0.5
X114.146_4.581_9279,0.5
X116.096_6.073_7609,0.4918
X117.066_6.571_5562,0.4429
X118.058_5.369_2435,0.694
X120.045_2.955_5012,0.5648
X120.109_5.006_3784,0.5651
X120.109_5.011_5516,0.583
X121.084_5.006_8834,0.4857
X123.079_3.733_4048,0.5247
X123.092_0.304_1103,0.5429
X123.092_3.412_9274,0.5962
X124.051_2.694_9501,0.5308
X127.112_1.127_9480,0.5
X129.102_2.183_5238,0.4451
X129.102_2.726_8304,0.5352
X132.066_6.854_1626,0.4275
X132.134_5.364_9246,0.5192
X133.065_1.275_8841,0.5412
X135.067_1.267_8970,0.6066
X140.118_2.191_5049,0.4489
X144.077_1.328_8906,0.6269
X144.113_1.247_9257,0.575
X145.032_4.663_2795,0.494
X147.078_5.955_5668,0.5154
X148.087_0.618_9070,0.6093
X148.087_2.832_5762,0.5011
X148.087_3.427_9140,0.5734
X149.095_1.639_6284,0.528
X149.095_1.995_8912,0.5813
X151.144_5.116_4523,0.4923
X153.089_1.401_7466,0.4679
X154.097_2.008_2010,0.4819
X155.093_3.347_4757,0.5376
X159.051_6.392_5420,0.5357
X160.133_4.539_2544,0.4929
X161.096_1.564_9457,0.5
X162.058_4.338_2424,0.4401
X166.097_3.953_4703,0.5453
X168.102_6.047_9319,0.5
X170.06_2.39_7403,0.5247
X170.06_2.714_7398,0.5242
X170.06_3.42_7395,0.5242
X170.06_3.526_7400,0.4929
X170.06_3.586_7419,0.4929
X170.06_3.592_7421,0.4929
X171.076_4.06_7959,0.6673
X172.083_6.361_9284,0.5
X173.107_1.505_2643,0.556
X174.055_4.137_4302,0.5717
X174.886_8.639_62,0.5214
X175.148_1.38_1333,0.456
X176.067_7.55_3343,0.4852
X176.105_1.478_1017,0.4714
X176.106_0.693_5280,0.5777
X177.113_1.715_884,0.5027
X177.113_3.322_9271,0.5376
X178.09_1.925_7038,0.561
X179.118_1.913_7324,0.5019
X180.086_6.352_9139,0.5761
X180.102_5.057_9285,0.5
X181.061_2.085_4561,0.4975
X181.108_0.476_8883,0.5997
X181.108_0.723_8881,0.5544
X181.108_2.013_5763,0.4374
X181.145_3.678_5590,0.5536
X183.078_6.293_2974,0.5764
X183.117_1.317_3877,0.5593
X184.073_1.996_5999,0.4368
X184.097_6.24_3598,0.4615
X184.133_1.658_9485,0.5
X185.032_7.177_9084,0.5
X185.96_6.92_8977,0.4986
X186.076_6.28_7197,0.4945
