sample_ID,Inflammation score,Parasite load,IFNg,CD4,CD68,CD28,miR-29c-3p,miR-208a-5p,miR-208b-5p,miR-210-3p
417,0.5,42.31,42.966,9.058,5.043,7.205,0.56,0.17,0.5,0.83
418,1,50.01,42.966,9.058,5.043,7.205,0.56,0.17,0.5,0.83
419,2.5,59.48,42.966,9.058,5.043,7.205,0.56,0.17,0.5,0.83
420,0.5,57.23,47.926,12.539,8.286,11.949,0.84,0.55,0.99,0.92
421,1.5,8.77,47.926,12.539,8.286,11.949,0.84,0.55,0.99,0.92
422,2,7.65,47.926,12.539,8.286,11.949,0.84,0.55,0.99,0.92
423,2.5,87.98,7.521,6.971,3.37,8.948,1.03,1.02,0.9,1.17
424,2.66,227.57,7.521,6.971,3.37,8.948,1.03,1.02,0.9,1.17
425,2.5,195.48,7.521,6.971,3.37,8.948,1.03,1.02,0.9,1.17
426,1.5,33.97,6.848,5.835,2.44,5.536,0.63,0.6,0.92,0.99
427,0.5,46.16,6.848,5.835,2.44,5.536,0.63,0.6,0.92,0.99
428,2.5,41.22,6.848,5.835,2.44,5.536,0.63,0.6,0.92,0.99
429,2,19.66,12.96,5.362,3.658,4.828,0.78,0.3,1,0.91
430,2.66,25.98,12.96,5.362,3.658,4.828,0.78,0.3,1,0.91
431,3,48.85,12.96,5.362,3.658,4.828,0.78,0.3,1,0.91
432,1.5,11.58,9.052,6.217,2.721,4.567,0.68,0.26,0.82,0.94
433,2.5,28.9,9.052,6.217,2.721,4.567,0.68,0.26,0.82,0.94
434,3,15.22,9.052,6.217,2.721,4.567,0.68,0.26,0.82,0.94
435,1,54.22,10.946,7.107,3.559,4.485,0.48,0.29,0.56,1.18
436,0.66,65.17,10.946,7.107,3.559,4.485,0.48,0.29,0.56,1.18
437,1.5,53.03,10.946,7.107,3.559,4.485,0.48,0.29,0.56,1.18
438,0.5,13.62,5.206,4.435,1.802,3.381,0.77,0.7,0.53,1.07
439,1,27.91,5.206,4.435,1.802,3.381,0.77,0.7,0.53,1.07
440,0.5,54.25,5.206,4.435,1.802,3.381,0.77,0.7,0.53,1.07
441,3,98.79,35.441,6.791,5.301,5.043,0.64,0.96,0.82,1.02
442,4,61.93,35.441,6.791,5.301,5.043,0.64,0.96,0.82,1.02
443,3.5,325.5,35.441,6.791,5.301,5.043,0.64,0.96,0.82,1.02
444,2.5,52.07,45.914,5.095,2.095,3.032,0.49,0.34,0.63,0.93
445,3,81.99,45.914,5.095,2.095,3.032,0.49,0.34,0.63,0.93
446,1.5,28.98,45.914,5.095,2.095,3.032,0.49,0.34,0.63,0.93
447,1.5,494.27,25.73,4.603,5.325,9.383,0.92,0.41,1.1,1.45
448,2.5,406.37,25.73,4.603,5.325,9.383,0.92,0.41,1.1,1.45
449,1.5,608.46,25.73,4.603,5.325,9.383,0.92,0.41,1.1,1.45
450,1,179.16,15.336,3.445,1.185,5.744,0.91,0.28,0.61,0.88
451,0,891.07,15.336,3.445,1.185,5.744,0.91,0.28,0.61,0.88
452,1.5,235.43,15.336,3.445,1.185,5.744,0.91,0.28,0.61,0.88
453,0,85.21,12.997,6.342,2.666,5.163,0.52,0.32,0.56,0.79
454,0.66,190.75,12.997,6.342,2.666,5.163,0.52,0.32,0.56,0.79
