heart_section,group,x,y
LV,MASPpepK,-0.21656728858570093,0.051246912088405636
LV,MASPpepK,-0.00644807224564485,0.2925746922349405
LV,MASPpepK,-0.4764651246926264,-0.14422838220671616
RV,MASPpepK,-0.5795891871009672,-0.5081308365427286
RV,MASPpepK,-0.3138139447520296,0.2552947064324969
RV,MASPpepK,-0.1546098881250422,0.1311319568741472
LV,MASPpepK,-0.3146909160592338,-0.14295106520166204
LV,MASPpepK,-0.3266295703528076,0.05637946971274376
LV,MASPpepK,0.13033953942940718,0.24389760868425614
RV,MASPpepK,-0.22295948477759078,-0.2152196346231034
RV,MASPpepK,-0.3912314754925006,-0.24311206253212825
RV,MASPpepK,-0.5125618354026845,-0.15646752174649306
LV,adjuvant,-0.06676960758804593,0.6902515804453231
LV,adjuvant,-0.12061520539219364,0.6412199935299361
LV,adjuvant,-0.2780988112080656,0.1307807926637034
RV,adjuvant,-0.13370243623154407,0.327833808834147
RV,adjuvant,-0.1747086661878133,0.01417932121093104
RV,adjuvant,-0.5052378231696003,-0.40783646308293375
LV,MASPpepK,-0.16563225104272322,0.17573391189247298
LV,MASPpepK,0.26362013471919293,0.3503593296937996
LV,MASPpepK,0.2658434120885115,0.4391111130420147
RV,MASPpepK,-0.4924898124268598,-0.14495532593013763
RV,MASPpepK,0.061671483069926473,0.37745705961542003
RV,MASPpepK,-0.24696873578922662,-0.1758336721706836
LV,MASPpepK + NGP24h,0.19951092462781053,0.39793847273858124
LV,MASPpepK + NGP24h,0.07578166847288069,0.18643209229927893
LV,MASPpepK + NGP24h,-0.00644778372126316,0.11944835879111466
RV,MASPpepK + NGP24h,0.007737618864814135,-0.008807791072635397
RV,MASPpepK + NGP24h,0.2285656765881583,0.08798587730166159
RV,MASPpepK + NGP24h,0.2590650129971171,0.20505068530754225
LV,NGP24h,0.349242108696943,-0.19778764323068687
LV,NGP24h,0.3873530628393535,-0.1748604775436327
LV,NGP24h,0.3468294956716858,-0.19452969391738836
RV,NGP24h,0.47325580076542045,-0.6039143576459273
RV,NGP24h,0.5246849281381457,-0.18433622615400974
RV,NGP24h,0.3175306204586888,-0.46319581978969965
LV,MASPpepK + NGP24h,-0.2377248342688513,-0.24244804050676347
LV,MASPpepK + NGP24h,-0.31887629803221834,0.00025816616368750885
LV,MASPpepK + NGP24h,0.1727590277798586,0.3687117721980261
RV,MASPpepK + NGP24h,0.1844759368113647,-0.017291639948928378
RV,MASPpepK + NGP24h,0.24327205286112163,0.2820880688369819
RV,MASPpepK + NGP24h,-0.027693114749858656,0.10547653347587335
LV,NGP24h,0.3631151851993758,-0.31334804371969505
LV,NGP24h,0.44006062216058633,-0.30739501045912343
LV,NGP24h,0.047755377155762925,-0.49872903004022845
RV,NGP24h,0.38032523782083155,-0.041716185893752054
RV,NGP24h,0.22571499852788193,-0.33194084762835885
RV,NGP24h,0.43093489025251025,0.030964115226087267
LV,adjuvant,0.20200835938803413,0.6288516646935078
LV,adjuvant,0.04300640376907929,0.31499484825974144
LV,adjuvant,-0.23372961752737262,0.018593954004486955
RV,adjuvant,-0.6180246832996457,-0.1321053296475141
RV,adjuvant,-0.5219758531192978,0.011061435797621368
RV,adjuvant,-0.4049522859392537,0.026713089188300048
LV,MASPpepK,-0.14556986416899095,0.014803429377218005
LV,MASPpepK,0.09171707029411487,0.20233931723138654
LV,MASPpepK,0.12093200246290738,0.25616328936838806
RV,MASPpepK,-0.5363535295458404,-0.035898778015046866
RV,MASPpepK,0.04939206495230203,0.2383149098943455
RV,MASPpepK,-0.19796460115945438,-0.0713927433710174
LV,adjuvant,-0.6225327064121272,-0.03797649278648821
LV,adjuvant,-0.15566402966952306,-0.21361843140771103
LV,adjuvant,-0.3124491009559793,0.020003241839750746
RV,adjuvant,-0.06016884552401907,0.12180400513949953
RV,adjuvant,-0.5848815160526697,-0.18833427803326516
RV,adjuvant,0.04696138044269732,0.12228494988820009
LV,MASPpepK + NGP24h,0.14647546969598266,0.14928617215288034
LV,MASPpepK + NGP24h,0.06972446017703286,-0.17541043136792017
LV,MASPpepK + NGP24h,0.17600034310826138,0.1276507864633911
RV,MASPpepK + NGP24h,-0.11931086612595725,0.19292905194783766
RV,MASPpepK + NGP24h,0.1102970016451003,0.0655182657358965
LV,NGP24h,0.5859694180667115,0.14167371135656345
LV,NGP24h,0.08940072243421414,-0.18442808255113063
LV,NGP24h,0.23015093040576856,-0.1547437876922211
RV,NGP24h,0.3653261070889326,0.007269932200893364
RV,NGP24h,0.4108797077198641,-0.08805617471650362
RV,NGP24h,0.23458037828848466,-0.5313360330859569
LV,adjuvant,-0.278848530589528,-0.07359096245387665
LV,adjuvant,-0.4794885802791879,0.1700172140411172
LV,adjuvant,0.010451222701464946,0.2517114607705153
RV,adjuvant,0.23523833407710878,0.2023148675728966
RV,adjuvant,-0.4054474137396698,0.19537355229118064
RV,adjuvant,-0.1793301983695329,0.29038961148923953
LV,NGP24h,0.414650180677505,-0.11598758335058998
LV,NGP24h,0.44784885342828906,0.08020556454500914
LV,NGP24h,0.4054000296145106,0.1039557295646974
RV,NGP24h,0.33943760917297655,-0.15359570944432435
RV,NGP24h,0.4141664448751881,-0.3217668121814074
RV,NGP24h,0.12976096638368004,-1.0
LV,MASPpepK + NGP24h,0.11832400253285406,0.10942654398974314
LV,MASPpepK + NGP24h,0.14637467255410316,-0.0029167913137801388
LV,MASPpepK + NGP24h,0.06782925157152024,0.1322588076678334
RV,MASPpepK + NGP24h,0.18261790180098508,-0.35173835481760235
RV,MASPpepK + NGP24h,-0.2869633814345925,-0.2534190420511095
RV,MASPpepK + NGP24h,0.16982166598071108,-0.35236421589083267
