SubjectID1,SubjectID2,Group1,Group2,group_name,Distance
G3_LV2_CV0418,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.13022099
G3_LV3_CV0419,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.135341859
G3_LV3_CV0419,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.140354043
G3_RV1_CV0420,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.214345829
G3_RV1_CV0420,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.215676819
G3_RV1_CV0420,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.159132966
G3_RV2_CV0421,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.16492478
G3_RV2_CV0421,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.150329736
G3_RV2_CV0421,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.17935948
G3_RV2_CV0421,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.22055658
G3_RV3_CV0422,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.134462366
G3_RV3_CV0422,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.110798143
G3_RV3_CV0422,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.142007881
G3_RV3_CV0422,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.183517769
G3_RV3_CV0422,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.147764135
G3_LV1_CV0423,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.127522844
G3_LV1_CV0423,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.13583816
G3_LV1_CV0423,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.115339972
G3_LV1_CV0423,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.167295418
G3_LV1_CV0423,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.185364499
G3_LV1_CV0423,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.145585214
G3_LV2_CV0424,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.147443423
G3_LV2_CV0424,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.145129703
G3_LV2_CV0424,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.112089364
G3_LV2_CV0424,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.195223085
G3_LV2_CV0424,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.178118651
G3_LV2_CV0424,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.168627439
G3_LV2_CV0424,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.128415282
G3_LV3_CV0425,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.149561081
G3_LV3_CV0425,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.112271297
G3_LV3_CV0425,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.149511127
G3_LV3_CV0425,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.220672858
G3_LV3_CV0425,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.184321511
G3_LV3_CV0425,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.136988813
G3_LV3_CV0425,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.152700459
G3_LV3_CV0425,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.134109171
G3_RV1_CV0426,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.128235969
G3_RV1_CV0426,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.158357503
G3_RV1_CV0426,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.149637801
G3_RV1_CV0426,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.201813697
G3_RV1_CV0426,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.178404528
G3_RV1_CV0426,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.144389596
G3_RV1_CV0426,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.158628238
G3_RV1_CV0426,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.165561509
G3_RV1_CV0426,G3_LV3_CV0425,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.147574239
G3_RV2_CV0427,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.136039918
G3_RV2_CV0427,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.149250235
G3_RV2_CV0427,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.098919724
G3_RV2_CV0427,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.164968282
G3_RV2_CV0427,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.191762501
G3_RV2_CV0427,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.139842437
G3_RV2_CV0427,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.10655159
G3_RV2_CV0427,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.121014241
G3_RV2_CV0427,G3_LV3_CV0425,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.139154749
G3_RV2_CV0427,G3_RV1_CV0426,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.115458785
G3_RV3_CV0428,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.152234972
G3_RV3_CV0428,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.150202973
G3_RV3_CV0428,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.106731305
G3_RV3_CV0428,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.173545336
G3_RV3_CV0428,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.18218278
G3_RV3_CV0428,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.135771407
G3_RV3_CV0428,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.116228194
G3_RV3_CV0428,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.142623569
G3_RV3_CV0428,G3_LV3_CV0425,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.156034062
G3_RV3_CV0428,G3_RV1_CV0426,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.134503277
G3_RV3_CV0428,G3_RV2_CV0427,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.094406522
G3_LV1_CV0435,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.156310097
G3_LV1_CV0435,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.125306254
G3_LV1_CV0435,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.166405404
G3_LV1_CV0435,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.192230592
G3_LV1_CV0435,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.191811416
G3_LV1_CV0435,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.13473896
G3_LV1_CV0435,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.142101655
G3_LV1_CV0435,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.188993351
G3_LV1_CV0435,G3_LV3_CV0425,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.160921308
G3_LV1_CV0435,G3_RV1_CV0426,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.163097516
G3_LV1_CV0435,G3_RV2_CV0427,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.142780083
G3_LV1_CV0435,G3_RV3_CV0428,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.14970056
G3_LV2_CV0436,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.17013607
G3_LV2_CV0436,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.102468325
G3_LV2_CV0436,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.176225485
G3_LV2_CV0436,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.248029168
G3_LV2_CV0436,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.191516639
G3_LV2_CV0436,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.143041951
G3_LV2_CV0436,G3_LV1_CV0423,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.163912763
G3_LV2_CV0436,G3_LV2_CV0424,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.171650861
G3_LV2_CV0436,G3_LV3_CV0425,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.120048577
G3_LV2_CV0436,G3_RV1_CV0426,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.180356791
G3_LV2_CV0436,G3_RV2_CV0427,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.176838274
G3_LV2_CV0436,G3_RV3_CV0428,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.182113231
G3_LV2_CV0436,G3_LV1_CV0435,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.151731279
G3_LV3_CV0437,G3_LV1_CV0417,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.177219249
G3_LV3_CV0437,G3_LV2_CV0418,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.156164439
G3_LV3_CV0437,G3_LV3_CV0419,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.200981763
G3_LV3_CV0437,G3_RV1_CV0420,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.273795843
G3_LV3_CV0437,G3_RV2_CV0421,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.203048644
G3_LV3_CV0437,G3_RV3_CV0422,MASPpepK,MASPpepK,MASPpepK VS MASPpepK,0.18290783
