filename,MASPpepK_NGP24h
aq_pos_358,1
aq_pos_445,1
aq_pos_435,1
aq_pos_832,1
aq_pos_3196,1
aq_pos_17,1
aq_pos_83,1
aq_pos_310,1
aq_pos_401,1
aq_pos_771,1
aq_pos_781,1
aq_pos_2417,1
aq_pos_2367,1
aq_pos_148,1
aq_pos_726,1
aq_pos_239,1
aq_pos_36,1
aq_pos_736,1
aq_pos_779,1
aq_pos_769,1
aq_pos_2266,1
aq_pos_2726,1
aq_pos_666,1
aq_pos_793,1
aq_pos_630,1
aq_pos_2406,1
org_pos_522,1
org_pos_936,1
org_pos_1543,1
aq_pos_798,1
org_pos_1236,1
aq_pos_342,1
aq_pos_789,1
aq_pos_2755,1
org_pos_1465,1
aq_pos_2450,1
org_pos_2353,1
aq_pos_2311,1
org_pos_1390,1
org_pos_1515,1
aq_pos_2197,1
aq_pos_3191,1
aq_pos_3216,1
org_pos_1481,1
org_pos_55,1
org_pos_1527,1
org_pos_3245,1
aq_pos_2478,1
org_pos_350,1
org_pos_1316,1
org_pos_640,1
org_pos_929,1
aq_pos_2087,1
org_pos_1104,1
org_pos_851,1
aq_pos_6077,1
org_pos_1286,1
org_pos_322,1
org_pos_563,1
aq_pos_4553,1
org_pos_43,1
org_pos_1595,1
aq_pos_256,1
aq_pos_2179,1
org_pos_1892,1
org_pos_1227,1
org_pos_2015,1
aq_pos_2057,1
org_pos_1290,1
org_pos_1894,1
aq_pos_187,1
aq_pos_5313,1
org_pos_596,1
org_pos_1258,1
aq_pos_2717,1
org_pos_571,1
org_pos_1592,1
org_pos_1627,1
org_pos_2606,1
aq_pos_831,1
aq_pos_2454,1
org_pos_1202,1
aq_pos_2181,1
org_pos_1533,1
aq_pos_2737,1
org_pos_1212,1
aq_pos_2072,1
org_pos_126,1
org_pos_639,1
org_pos_3743,1
aq_pos_2207,1
org_pos_1492,1
org_pos_3767,1
aq_pos_3232,1
aq_pos_6866,1
org_pos_2439,1
org_pos_1293,1
org_pos_71,1
org_pos_606,1
org_pos_2159,1
org_pos_3126,1
org_pos_3559,1
org_pos_215,1
org_pos_1643,1
org_pos_2072,1
org_pos_2194,1
org_pos_3768,1
aq_pos_5343,1
org_pos_3669,1
aq_pos_2096,1
aq_pos_3234,1
org_pos_1854,1
org_pos_3635,1
aq_pos_334,1
aq_pos_6569,1
org_pos_48,1
org_pos_562,1
org_pos_1674,1
org_pos_1914,1
org_pos_2143,1
org_pos_2514,1
org_pos_3463,1
aq_pos_2064,1
aq_pos_2091,1
org_pos_1459,1
org_pos_1491,1
org_pos_1630,1
org_pos_1798,1
aq_pos_2608,1
aq_pos_5516,1
org_pos_1224,1
aq_pos_1175,1
org_pos_1166,1
org_pos_1234,1
org_pos_2125,1
org_pos_2585,1
org_pos_2710,1
aq_pos_322,1
aq_pos_4923,1
org_pos_647,1
org_pos_1311,1
org_pos_1874,1
org_pos_3193,1
aq_pos_279,1
aq_pos_2953,1
aq_pos_5002,1
aq_pos_6543,1
org_pos_1911,1
org_pos_3587,1
org_pos_3752,1
org_pos_3847,1
aq_pos_4056,1
aq_pos_4550,1
org_pos_7,1
org_pos_587,1
org_pos_1574,1
org_pos_2542,1
org_pos_2915,1
org_pos_3558,1
org_pos_3632,1
org_pos_3843,1
aq_pos_4381,1
aq_pos_6869,1
aq_pos_7034,1
org_pos_1768,1
org_pos_1777,1
org_pos_2607,1
org_pos_3557,1
aq_pos_235,1
aq_pos_2089,1
org_pos_17,1
org_pos_713,1
org_pos_1684,1
org_pos_1731,1
org_pos_3373,1
org_pos_3467,1
aq_pos_2977,1
aq_pos_6180,1
org_pos_1179,1
org_pos_1738,1
org_pos_1788,1
aq_pos_821,1
aq_pos_6998,1
org_pos_634,1
org_pos_1497,1
org_pos_86,1
org_pos_614,1
aq_pos_2161,1
aq_pos_3192,1
aq_pos_3379,1
aq_pos_5314,1
org_pos_355,1
aq_pos_2101,1
aq_pos_4205,1
org_pos_1616,1
org_pos_3757,1
aq_pos_1846,1
aq_pos_2054,1
aq_pos_2106,1
org_pos_13,1
org_pos_307,1
org_pos_1165,1
org_pos_1843,1
org_pos_1939,1
org_pos_3627,1
aq_pos_2464,1
aq_pos_3185,1
org_pos_1148,1
org_pos_1456,1
org_pos_2718,1
org_pos_3740,1
org_pos_3848,1
aq_pos_4883,1
aq_pos_5486,1
aq_pos_6564,1
aq_pos_6949,1
org_pos_82,1
org_pos_243,1
org_pos_3486,1
aq_pos_6796,1
org_pos_576,1
org_pos_1693,1
org_pos_1793,1
org_pos_2604,1
org_pos_3175,1
org_pos_3782,1
aq_pos_2215,1
aq_pos_2413,1
aq_pos_6347,1
org_pos_1602,1
org_pos_1617,1
org_pos_1736,1
org_pos_2608,1
org_pos_3774,1
aq_pos_901,1
aq_pos_2224,1
org_pos_1361,1
org_pos_2588,1
org_pos_3320,1
aq_pos_4651,1
org_pos_113,1
org_pos_1092,1
org_pos_1188,1
org_pos_2824,1
aq_pos_6872,1
org_pos_707,1
org_pos_3586,1
aq_pos_2779,1
aq_pos_4677,1
aq_pos_6732,1
aq_pos_7012,1
org_pos_1906,1
org_pos_3301,1
org_pos_3763,1
aq_pos_2098,1
aq_pos_4625,1
aq_pos_6947,1
org_pos_945,1
org_pos_1222,1
org_pos_1772,1
org_pos_2023,1
org_pos_2711,1
org_pos_2727,1
org_pos_3605,1
