filename,MASPpepK
aq_pos_435,1
aq_pos_779,1
aq_pos_781,1
aq_pos_2450,1
aq_pos_342,1
aq_pos_2238,1
aq_pos_445,1
aq_pos_358,1
aq_pos_2120,1
aq_pos_2367,1
aq_pos_793,1
aq_pos_832,1
aq_pos_771,1
aq_pos_3218,1
org_pos_1457,1
aq_pos_310,1
org_pos_1442,1
aq_pos_187,1
aq_pos_798,1
aq_pos_1190,1
aq_pos_2420,1
aq_pos_2134,1
aq_pos_2224,1
aq_pos_2742,1
aq_pos_256,1
aq_pos_401,1
aq_pos_2717,1
org_pos_1230,1
org_pos_1705,1
aq_pos_2070,1
aq_pos_2773,1
aq_pos_1250,1
aq_pos_2417,1
aq_pos_2812,1
aq_pos_789,1
aq_pos_3209,1
aq_pos_1178,1
aq_pos_1628,1
aq_pos_2311,1
aq_pos_2619,1
org_pos_55,1
org_pos_936,1
org_pos_1729,1
aq_pos_1251,1
aq_pos_2385,1
aq_pos_2726,1
org_pos_1416,1
aq_pos_2737,1
aq_pos_3192,1
aq_pos_1198,1
aq_pos_2608,1
org_pos_1451,1
org_pos_1587,1
aq_pos_2275,1
org_pos_2047,1
aq_pos_2327,1
aq_pos_769,1
aq_pos_1237,1
aq_pos_2355,1
aq_pos_2669,1
org_pos_2353,1
aq_pos_2374,1
org_pos_1489,1
aq_pos_2625,1
aq_pos_2150,1
aq_pos_3212,1
aq_pos_3213,1
aq_pos_2431,1
aq_pos_726,1
aq_pos_1235,1
aq_pos_2239,1
org_pos_1552,1
aq_pos_2226,1
aq_pos_2479,1
aq_pos_5343,1
aq_pos_4553,1
aq_pos_83,1
aq_pos_660,1
aq_pos_3195,1
org_pos_2467,1
aq_pos_2755,1
aq_pos_2068,1
aq_pos_6711,1
org_pos_2466,1
aq_pos_2080,1
aq_pos_1245,1
aq_pos_1248,1
aq_pos_2357,1
aq_pos_2324,1
aq_pos_148,1
aq_pos_2190,1
aq_pos_2736,1
aq_pos_2780,1
aq_pos_239,1
aq_pos_736,1
aq_pos_2472,1
org_pos_3891,1
org_pos_2119,1
aq_pos_2723,1
aq_pos_2243,1
aq_pos_2259,1
aq_pos_2478,1
aq_pos_2220,1
aq_pos_2760,1
aq_pos_2806,1
aq_pos_2266,1
aq_pos_3203,1
aq_pos_17,1
aq_pos_2469,1
aq_pos_4877,1
org_pos_2556,1
aq_pos_6637,1
aq_pos_666,1
aq_pos_2349,1
aq_pos_2871,1
aq_pos_2440,1
org_pos_2000,1
aq_pos_2381,1
aq_pos_4236,1
aq_pos_4237,1
aq_pos_4238,1
aq_pos_5200,1
aq_pos_1526,1
aq_pos_3224,1
aq_pos_4242,1
aq_pos_4244,1
aq_pos_4243,1
aq_pos_4256,1
aq_pos_4700,1
aq_pos_6063,1
org_pos_1423,1
aq_pos_2087,1
aq_pos_2425,1
aq_pos_2781,1
aq_pos_3187,1
org_pos_3176,1
aq_pos_2071,1
aq_pos_2098,1
aq_pos_2676,1
aq_pos_5313,1
org_pos_1488,1
aq_pos_449,1
aq_pos_2464,1
aq_pos_3044,1
aq_pos_4131,1
org_pos_826,1
org_pos_2176,1
aq_pos_2356,1
org_pos_1306,1
org_pos_3504,1
aq_pos_2100,1
aq_pos_2471,1
aq_pos_322,1
aq_pos_2167,1
aq_pos_3378,1
aq_pos_4609,1
aq_pos_6872,1
org_pos_1289,1
aq_pos_2293,1
aq_pos_2801,1
aq_pos_6355,1
org_pos_1681,1
aq_pos_630,1
aq_pos_831,1
aq_pos_2074,1
aq_pos_2613,1
aq_pos_6389,1
aq_pos_6895,1
aq_pos_4550,1
aq_pos_5502,1
aq_pos_5639,1
org_pos_1074,1
aq_pos_1544,1
aq_pos_4146,1
aq_pos_4153,1
aq_pos_4606,1
aq_pos_4625,1
aq_pos_2099,1
aq_pos_2295,1
aq_pos_5618,1
org_pos_2565,1
org_pos_3782,1
aq_pos_1467,1
org_pos_1095,1
org_pos_1944,1
aq_pos_2156,1
aq_pos_2429,1
aq_pos_2741,1
aq_pos_2750,1
aq_pos_3193,1
aq_pos_6385,1
org_pos_3167,1
org_pos_3621,1
aq_pos_6127,1
aq_pos_416,1
aq_pos_764,1
aq_pos_2055,1
aq_pos_4875,1
aq_pos_5910,1
aq_pos_6479,1
org_pos_1162,1
org_pos_1178,1
org_pos_2555,1
aq_pos_2402,1
aq_pos_3792,1
org_pos_127,1
aq_pos_2142,1
aq_pos_3070,1
aq_pos_5624,1
aq_pos_1200,1
aq_pos_1547,1
aq_pos_6687,1
aq_pos_7034,1
org_pos_2585,1
org_pos_3168,1
aq_pos_2246,1
aq_pos_2297,1
aq_pos_5407,1
aq_pos_5770,1
aq_pos_6674,1
aq_pos_1509,1
aq_pos_1938,1
aq_pos_4168,1
aq_pos_4717,1
aq_pos_5183,1
aq_pos_5382,1
aq_pos_5704,1
org_pos_368,1
org_pos_2131,1
aq_pos_2241,1
aq_pos_2406,1
aq_pos_2979,1
aq_pos_3210,1
aq_pos_4143,1
aq_pos_6353,1
aq_pos_6796,1
org_pos_1435,1
org_pos_2051,1
