filename,NGP24h
aq_pos_310,1
aq_pos_358,1
aq_pos_401,1
aq_pos_435,1
aq_pos_445,1
aq_pos_769,1
aq_pos_779,1
aq_pos_781,1
aq_pos_831,1
aq_pos_832,1
aq_pos_2295,1
aq_pos_2417,1
aq_pos_2450,1
org_pos_572,1
org_pos_629,1
org_pos_662,1
org_pos_1079,1
org_pos_2090,1
org_pos_2558,1
org_pos_2567,1
org_pos_2568,1
org_pos_2584,1
org_pos_2585,1
org_pos_2597,1
org_pos_2630,1
aq_pos_187,1
aq_pos_771,1
aq_pos_2266,1
org_pos_1693,1
org_pos_2579,1
aq_pos_342,1
org_pos_2574,1
aq_pos_322,1
aq_pos_346,1
aq_pos_2367,1
org_pos_2608,1
org_pos_709,1
org_pos_1880,1
org_pos_2595,1
org_pos_2635,1
org_pos_3110,1
aq_pos_83,1
aq_pos_2425,1
org_pos_2582,1
org_pos_1236,1
org_pos_2116,1
aq_pos_36,1
aq_pos_630,1
aq_pos_2114,1
aq_pos_2755,1
org_pos_2726,1
aq_pos_798,1
aq_pos_2477,1
org_pos_620,1
org_pos_2710,1
aq_pos_2433,1
org_pos_618,1
org_pos_1316,1
org_pos_585,1
org_pos_1841,1
aq_pos_239,1
org_pos_233,1
org_pos_1470,1
aq_pos_148,1
aq_pos_726,1
aq_pos_2205,1
aq_pos_2475,1
aq_pos_3213,1
org_pos_1799,1
org_pos_2640,1
aq_pos_17,1
aq_pos_666,1
org_pos_318,1
org_pos_2569,1
org_pos_2684,1
aq_pos_256,1
org_pos_611,1
org_pos_851,1
org_pos_1555,1
org_pos_1650,1
org_pos_2480,1
org_pos_2559,1
aq_pos_736,1
org_pos_58,1
org_pos_2086,1
org_pos_2577,1
org_pos_2606,1
org_pos_2598,1
aq_pos_2717,1
org_pos_1512,1
org_pos_2589,1
org_pos_2642,1
aq_pos_2422,1
aq_pos_2719,1
org_pos_569,1
org_pos_627,1
org_pos_1876,1
org_pos_2092,1
org_pos_2625,1
org_pos_1390,1
org_pos_2607,1
aq_pos_2149,1
