,Count
C2H4,278
H2N3:C2H4O,179
methanol (-H2O):CH2,172
H2,142
O,123
adduct_rel_H_NH4 or NH3,104
H2O,104
C4H8,99
C2,59
C2H2,56
C3H6,35
NH3<->OH,30
H5N4:C2H7NO,26
CH4N3:C3H6O,20
C3H4,18
CO,18
N3:C2H2O,17
H4,15
CO2,13
CH4,13
CH5N,13
H4N3:C2H6O,12
N2H:HN2,12
CH2O,11
O2,11
C2O,11
C2H7N,10
CN3:C3H2O,10
CN:C2H2,10
C2H3N2O,10
C5H10,9
C2H6N3,9
phosphate:HPO3,9
H2N3:C2H4O:CH4N2,9
CH4O,9
C6H10,8
C4H2,8
CH2N,8
CH2N3O:C3H492,7
adduct_rel_H_Na:Na-H,7
C3H2,7
C,7
H,6
C4H4,6
C2H6,6
N3O:C2H2O2,6
CH7N4:C3H9NO,6
C4H11N,5
CH4N3O:C3H6O2,5
C4H6,5
O4,5
C3H5NO2_Serine,5
C2O2,5
C2H3,4
CH3N,4
CH2N3:C3H4O,4
CH2O2,4
CN3O:C3H2O2,3
C3H9N,3
CH4N2O2:C6H4,3
HN2O,3
H2N3O:C2H4O2,3
C2H8N3:C4H10O,2
C21H33N7O15P3S_co-enzyme A (-H2O):C5H8N2O2,2
C2H2N3O:C4H4O2,2
C10H13N2O7P_thymidine 5' monophosphate (-H2O):C16H30O,2
N3O:C2H2O2:CH2N2O,2
O2H2:H2O2,2
C6H4,2
isotope_34S:isotope_37Cl:isotope_81Br,2
CH2NO:H2N3:C2H4O:CH4N2,2
H3N4O:C2H5NO2,2
C2H2N3O:C4H4O2:CH3N4O,2
C5H8,2
CH3N4:C3H5NO,2
C2H4O,2
CH2NO:H2N3:C2H4O,2
CH4N:C2H6,2
C2H8N3:C4H10O:C3H10N2,2
CHN2,2
C3H6N:C4H8,1
CH3N4O,1
C2H6N2O:CH6N4:C3H8NO:C2H8N3,1
C5O:CH2NO3:C4N2,1
CO:N2,1
C3H7N,1
NH2:primary amine,1
CN2O2:C6:N40:C2H2NO2,1
C2N3:C4H2O,1
C2H2NO:CH2N3,1
C5H12,1
C2O3,1
C3H3N3:C5H5O,1
CH4N2O2:C6H4:H4N4O:C2H6NO2:CH6N3O:C3H8O2,1
C3H2N,1
CHN,1
H4N3O:C2H6O2,1
CO3,1
NH2O:H2NO:CH4O,1
C3H4N3:C5H6O,1
CH5N4:C3H7NO,1
C2H2O2:CH2N2O,1
HNO,1
C3O:C2N2,1
CHN2O,1
CH2N2O2,1
N2O:CH2NO,1
isotope_13C,1
H2O3,1
H6N4O,1
CH2N:C2H4,1
C4HN2,1
secondary amine:NH,1
H2N3O:C2H4O2:CH4N2O,1
HNO4,1
C10H14N2O2S_biotinyl (-H2O):C4H6N2O2,1
CH2NO,1
CN,1
H2O3:C3N,1
C2H2NO2:CH2N3O:C3H492,1
tertiary amine:N,1
C5H8N:C6H10,1
CH5NO,1
C2H4O:CH4N2,1
CH2NO2:H2N3O:C2H4O2:CH4N2O,1
N3O2:C2H2O3:C5N:CH2N2O2:C6H2:H2N40:C2H4NO2,1
CHNO,1
C2H4N2O:C3H6NO:CH4N4:C2H6N3,1
H2N2O3:C3N3:C5H2O,1
C4HO2:H3NO4,1
CH2N2O2:C6H2,1
CNO2:N3O:C2H2O2,1
