,Count
C2H4,264
methanol (-H2O):CH2,157
H2N3:C2H4O,144
H2,135
O,112
H2O,97
adduct_rel_H_NH4 or NH3,90
C4H8,74
C2H2,60
C2,57
C3H6,39
NH3<->OH,29
H4,21
H5N4:C2H7NO,19
CH4N3:C3H6O,17
C3H4,16
CO,16
H4N3:C2H6O,12
CH4,12
CH5N,12
O2,11
N3:C2H2O,11
CH2O,10
C2H7N,10
CN3:C3H2O,10
phosphate:HPO3,9
C2O,9
C5H10,8
CH2N,8
CH2N3O:C3H492,7
C2H6N3,7
C2H3N2O,7
C,7
adduct_rel_H_Na:Na-H,6
C3H2,6
C4H4,6
C4H2,6
C6H10,6
CO2,6
CH4O,6
CH7N4:C3H9NO,6
C4H11N,5
CH4N3O:C3H6O2,5
CH2O2,5
C2O2,5
CN:C2H2,5
C4H6,4
CH3N,4
O4,4
H,4
H2N3:C2H4O:CH4N2,3
N2H:HN2,3
CH2N3:C3H4O,3
C3H9N,3
HN2O,3
C4HN2,2
C21H33N7O15P3S_co-enzyme A (-H2O):C5H8N2O2,2
C2H3,2
HN3O:C2H3O2,2
C10H13N2O7P_thymidine 5' monophosphate (-H2O):C16H30O,2
C2H6,2
isotope_34S:isotope_37Cl:isotope_81Br,2
CN3O:C3H2O2,2
CH4N2O2:C6H4,2
C3H5NO2_Serine,2
CH3N4:C3H5NO,2
CHN2,2
C3H6N:C4H8,1
CH3N4O,1
C2H8N3:C4H10O,1
C5O:CH2NO3:C4N2,1
CO:N2,1
NH2:primary amine,1
CN2O2:C6:N40:C2H2NO2,1
C2H2N3O:C4H4O2,1
C2O3,1
C3H3N3:C5H5O,1
C10H14N2O2S_biotinyl (-H2O):C4H6N2O2,1
O2H2:H2O2,1
C3H2N,1
CHN,1
H4N3O:C2H6O2,1
CO3,1
C3H4N3:C5H6O,1
N3O:C2H2O2,1
CH5N4:C3H7NO,1
C3O:C2N2,1
CHN2O,1
N2O:CH2NO,1
isotope_13C,1
H2O3,1
secondary amine:NH,1
H2N3O:C2H4O2:CH4N2O,1
HNO4,1
H2N3O:C2H4O2,1
C5H8,1
CN,1
H2O3:C3N,1
CH2NO:H2N3:C2H4O,1
C2H2NO2:CH2N3O:C3H492,1
C2H4O,1
CH5NO,1
CH2NO2:H2N3O:C2H4O2:CH4N2O,1
C2H4N2O:C3H6NO:CH4N4:C2H6N3,1
H2N2O3:C3N3:C5H2O,1
C6H4,1
C4HO2:H3NO4,1
CNO,1
CNO2:N3O:C2H2O2,1
