,Count
C2H4,204
methanol (-H2O):CH2,109
H2N3:C2H4O,107
adduct_rel_H_NH4 or NH3,81
H2,80
C2H2,51
C4H8,45
H2O,44
C2,36
O,35
NH3<->OH,23
C3H6,19
CH4N3:C3H6O,15
H5N4:C2H7NO,14
CH5N,10
phosphate:HPO3,9
N3:C2H2O,9
CO,8
CH2N,8
H4,8
C5H10,6
C2H3N2O,6
C2H7N,6
CH2O,6
CH7N4:C3H9NO,6
CN3:C3H2O,6
H4N3:C2H6O,5
O4,5
CO2,5
CH2O2,4
C4H11N,4
C2H6N3,4
C4H6,4
H,4
CN:C2H2,4
CH3N,4
C2H3,4
adduct_rel_H_Na:Na-H,4
N2H:HN2,4
CH4N3O:C3H6O2,3
C4H2,3
C3H4,3
C4H4,3
HN2O,3
H2N3:C2H4O:CH4N2,3
C,3
CHN,3
CH4N2O2:C6H4,3
NH2:primary amine,2
C5H8,2
CH3N4:C3H5NO,2
C2H4O,2
HN3O:C2H3O2,2
C10H13N2O7P_thymidine 5' monophosphate (-H2O):C16H30O,2
C2H6,2
C6H10,2
CH4O,2
CN3O:C3H2O2,2
C3H5NO2_Serine,2
CHN2,2
isotope_13C,1
H6N4O,1
isotope_37Cl:isotope_81Br,1
C4HN2,1
secondary amine:NH,1
C2H8N3:C4H10O,1
C5O:CH2NO3:C4N2,1
CO:N2,1
HNO4,1
CN2O2:C6:N40:C2H2NO2,1
C2H2NO:CH2N3,1
CH2N3O:C3H492,1
CH4,1
C3H3N3:C5H5O,1
CN,1
C10H14N2O2S_biotinyl (-H2O):C4H6N2O2,1
CH4N:C2H6,1
N3O:C2H2O2:CH2N2O,1
CH2NO:H2N3:C2H4O:CH4N2,1
CH5NO,1
C2H8N3:C4H10O:C3H10N2,1
isotope_34S:isotope_37Cl:isotope_81Br,1
H4N3O:C2H6O2,1
CHNO,1
H2N2O3:C3N3:C5H2O,1
C6H4,1
N3O:C2H2O2,1
C4HO2:H3NO4,1
CH5N4:C3H7NO,1
C3H2,1
CNO,1
C3O:C2N2,1
C3H9N,1
