filename,class
aq_pos_3537,No matches
aq_pos_246,No matches
aq_pos_4023,No matches
aq_pos_6675,No matches
aq_pos_6289,No matches
aq_pos_1591,No matches
aq_pos_896,No matches
aq_pos_3832,Lipids and lipid-like molecules
aq_pos_2426,"Lignans, neolignans and related compounds"
aq_pos_157,Organic acids and derivatives
aq_pos_1486,No matches
aq_pos_6755,No matches
aq_pos_4331,No matches
aq_pos_1245,No matches
aq_pos_5352,No matches
aq_pos_4391,No matches
aq_pos_3321,"Nucleosides, nucleotides, and analogues"
aq_pos_3161,No matches
aq_pos_5134,No matches
aq_pos_399,No matches
aq_pos_35,No matches
aq_pos_2026,No matches
aq_pos_4900,No matches
aq_pos_2242,No matches
aq_pos_1924,No matches
aq_pos_1374,No matches
aq_pos_1467,No matches
aq_pos_4443,No matches
aq_pos_3247,No matches
aq_pos_6532,No matches
aq_pos_5285,No matches
aq_pos_4702,No matches
aq_pos_6126,No matches
aq_pos_5504,Lipids and lipid-like molecules
aq_pos_6391,No matches
aq_pos_2430,No matches
aq_pos_3403,"Nucleosides, nucleotides, and analogues"
aq_pos_1401,No matches
aq_pos_82,No matches
aq_pos_2166,No matches
aq_pos_7048,No matches
aq_pos_122,Benzenoids
aq_pos_5404,No matches
aq_pos_2043,"Nucleosides, nucleotides, and analogues"
aq_pos_6664,No matches
aq_pos_1323,No matches
aq_pos_1279,No matches
aq_pos_3310,No matches
aq_pos_1174,No matches
aq_pos_6779,No matches
aq_pos_3557,No matches
aq_pos_1438,No matches
aq_pos_5688,No matches
aq_pos_2974,Lipids and lipid-like molecules
aq_pos_4940,No matches
aq_pos_6098,No matches
aq_pos_914,No matches
aq_pos_6228,No matches
aq_pos_1182,No matches
aq_pos_4441,Organic oxygen compounds
aq_pos_6795,No matches
aq_pos_3331,No matches
aq_pos_6106,No matches
aq_pos_4386,No matches
aq_pos_1228,No matches
aq_pos_455,No matches
aq_pos_3701,No matches
aq_pos_4104,No matches
aq_pos_463,No matches
aq_pos_4453,Organic nitrogen compounds
aq_pos_1369,No matches
aq_pos_5195,"Lignans, neolignans and related compounds"
aq_pos_6565,No matches
aq_pos_4674,No matches
aq_pos_6867,Organic acids and derivatives
aq_pos_968,No matches
aq_pos_2840,Lipids and lipid-like molecules
aq_pos_2635,No matches
aq_pos_3629,No matches
aq_pos_2062,No matches
aq_pos_3438,No matches
aq_pos_904,No matches
aq_pos_794,"Nucleosides, nucleotides, and analogues"
aq_pos_2047,Lipids and lipid-like molecules
aq_pos_857,Organic nitrogen compounds
aq_pos_755,No matches
aq_pos_5786,No matches
aq_pos_5637,No matches
aq_pos_2183,Organic acids and derivatives
aq_pos_6080,No matches
aq_pos_87,No matches
aq_pos_3379,No matches
aq_pos_471,No matches
aq_pos_1104,No matches
aq_pos_4228,No matches
aq_pos_1774,No matches
aq_pos_1581,No matches
aq_pos_6966,No matches
aq_pos_2114,No matches
aq_pos_2950,No matches
aq_pos_1148,No matches
aq_pos_4814,No matches
aq_pos_802,Organic oxygen compounds
aq_pos_6695,No matches
aq_pos_5115,No matches
aq_pos_1005,No matches
aq_pos_6586,No matches
aq_pos_2872,No matches
aq_pos_3506,Organic oxygen compounds
aq_pos_5086,No matches
aq_pos_5499,No matches
aq_pos_3842,No matches
aq_pos_4634,No matches
aq_pos_1362,No matches
aq_pos_4541,No matches
aq_pos_3342,No matches
aq_pos_693,No matches
aq_pos_6600,No matches
aq_pos_6653,Organic acids and derivatives
aq_pos_203,No matches
aq_pos_5479,"Nucleosides, nucleotides, and analogues"
aq_pos_266,No matches
aq_pos_248,No matches
aq_pos_5639,Lipids and lipid-like molecules
aq_pos_4600,No matches
aq_pos_4422,No matches
aq_pos_6154,No matches
aq_pos_5774,No matches
aq_pos_4336,"Nucleosides, nucleotides, and analogues"
aq_pos_1546,No matches
aq_pos_4888,No matches
aq_pos_5457,No matches
aq_pos_5630,No matches
aq_pos_6081,No matches
aq_pos_1761,No matches
aq_pos_2463,No matches
aq_pos_313,No matches
aq_pos_5152,No matches
aq_pos_3052,No matches
aq_pos_1985,No matches
aq_pos_2398,Lipids and lipid-like molecules
aq_pos_4904,No matches
aq_pos_743,No matches
aq_pos_870,Lipids and lipid-like molecules
aq_pos_3841,No matches
aq_pos_6737,No matches
aq_pos_5147,No matches
aq_pos_1097,No matches
aq_pos_3029,Lipids and lipid-like molecules
aq_pos_1787,No matches
aq_pos_2754,Lipids and lipid-like molecules
aq_pos_3556,No matches
aq_pos_7042,No matches
aq_pos_5004,Benzenoids
aq_pos_3613,Organic acids and derivatives
aq_pos_418,No matches
aq_pos_3049,Lipids and lipid-like molecules
aq_pos_5270,No matches
aq_pos_6351,Lipids and lipid-like molecules
aq_pos_5494,No matches
aq_pos_6613,Lipids and lipid-like molecules
aq_pos_5737,No matches
aq_pos_2056,Organic acids and derivatives
aq_pos_1418,No matches
aq_pos_6161,No matches
aq_pos_6285,No matches
aq_pos_5974,No matches
aq_pos_1961,No matches
aq_pos_4580,No matches
aq_pos_6900,Lipids and lipid-like molecules
aq_pos_3295,Organoheterocyclic compounds
aq_pos_2675,Organic oxygen compounds
aq_pos_1569,No matches
aq_pos_942,No matches
aq_pos_4463,"Nucleosides, nucleotides, and analogues"
aq_pos_1532,No matches
aq_pos_2811,No matches
aq_pos_5758,Organic nitrogen compounds
aq_pos_1945,No matches
aq_pos_69,No matches
aq_pos_3329,No matches
aq_pos_1740,No matches
aq_pos_4827,No matches
aq_pos_2742,No matches
aq_pos_2774,No matches
aq_pos_3999,No matches
aq_pos_3858,Lipids and lipid-like molecules
aq_pos_3659,No matches
aq_pos_688,No matches
aq_pos_2301,No matches
aq_pos_5788,No matches
aq_pos_5570,No matches
aq_pos_2712,No matches
aq_pos_554,No matches
aq_pos_4177,Lipids and lipid-like molecules
aq_pos_1563,No matches
aq_pos_5601,No matches
aq_pos_1334,No matches
aq_pos_4960,No matches
aq_pos_5790,No matches
aq_pos_539,No matches
aq_pos_1231,No matches
aq_pos_1352,No matches
aq_pos_6706,No matches
aq_pos_4098,No matches
aq_pos_878,No matches
aq_pos_4462,No matches
aq_pos_3570,Lipids and lipid-like molecules
aq_pos_3245,No matches
aq_pos_5792,No matches
aq_pos_1598,No matches
aq_pos_3980,No matches
aq_pos_5698,Organic oxygen compounds
aq_pos_6464,No matches
aq_pos_6442,No matches
aq_pos_5771,No matches
aq_pos_2193,No matches
aq_pos_2753,No matches
aq_pos_1905,No matches
aq_pos_6924,No matches
aq_pos_6342,No matches
aq_pos_1872,No matches
aq_pos_446,Organic nitrogen compounds
aq_pos_4789,No matches
aq_pos_7059,"Nucleosides, nucleotides, and analogues"
aq_pos_703,Organic nitrogen compounds
aq_pos_5815,No matches
aq_pos_1879,No matches
aq_pos_3750,No matches
aq_pos_6950,No matches
aq_pos_6598,No matches
aq_pos_4029,No matches
aq_pos_1909,No matches
aq_pos_4158,No matches
aq_pos_4194,No matches
aq_pos_2968,No matches
aq_pos_5854,No matches
aq_pos_5038,Organic acids and derivatives
aq_pos_6723,Benzenoids
aq_pos_6703,No matches
aq_pos_7011,Organic acids and derivatives
aq_pos_163,No matches
aq_pos_1769,No matches
aq_pos_5899,Benzenoids
aq_pos_2812,No matches
aq_pos_5943,No matches
aq_pos_6470,No matches
aq_pos_2124,No matches
aq_pos_3883,No matches
aq_pos_1763,No matches
aq_pos_3292,No matches
aq_pos_5971,No matches
aq_pos_1703,No matches
aq_pos_2338,No matches
aq_pos_3920,No matches
aq_pos_1496,No matches
aq_pos_1938,No matches
aq_pos_2884,Lipids and lipid-like molecules
aq_pos_6831,No matches
aq_pos_2380,Lipids and lipid-like molecules
aq_pos_5243,No matches
aq_pos_3103,Lipids and lipid-like molecules
aq_pos_3978,No matches
aq_pos_1765,No matches
aq_pos_5170,No matches
aq_pos_903,No matches
aq_pos_4476,No matches
aq_pos_4799,No matches
aq_pos_1950,No matches
aq_pos_3654,No matches
aq_pos_6776,No matches
aq_pos_1181,No matches
aq_pos_5102,No matches
aq_pos_1248,No matches
aq_pos_4920,Lipids and lipid-like molecules
aq_pos_5816,No matches
aq_pos_536,No matches
aq_pos_2555,No matches
aq_pos_2868,No matches
aq_pos_4659,No matches
aq_pos_7032,No matches
aq_pos_6309,No matches
aq_pos_3674,No matches
aq_pos_4878,No matches
aq_pos_2900,No matches
aq_pos_6731,No matches
aq_pos_1161,No matches
aq_pos_5023,Lipids and lipid-like molecules
aq_pos_2005,No matches
aq_pos_1534,No matches
aq_pos_2245,Lipids and lipid-like molecules
aq_pos_2659,No matches
aq_pos_1582,No matches
aq_pos_427,Lipids and lipid-like molecules
aq_pos_2592,No matches
aq_pos_5318,No matches
aq_pos_1207,No matches
aq_pos_3990,No matches
aq_pos_4127,No matches
aq_pos_1045,No matches
aq_pos_6271,No matches
aq_pos_2945,No matches
aq_pos_4491,No matches
aq_pos_1512,No matches
aq_pos_186,No matches
aq_pos_6938,No matches
aq_pos_2432,No matches
aq_pos_3065,No matches
aq_pos_4547,Benzenoids
aq_pos_1773,No matches
aq_pos_6895,No matches
aq_pos_923,No matches
aq_pos_2372,"Nucleosides, nucleotides, and analogues"
aq_pos_1427,No matches
aq_pos_4075,No matches
aq_pos_1449,No matches
aq_pos_2322,Lipids and lipid-like molecules
aq_pos_5173,No matches
aq_pos_6481,No matches
aq_pos_3020,No matches
aq_pos_5234,No matches
aq_pos_50,Organic nitrogen compounds
aq_pos_51,No matches
aq_pos_3641,Organoheterocyclic compounds
aq_pos_3222,No matches
aq_pos_1641,No matches
aq_pos_6294,No matches
aq_pos_4573,No matches
aq_pos_1037,No matches
aq_pos_490,No matches
